#Name (cmd = mergePeaks 03_motif/cluster_2_homer_VS_bgPeaks/bg.clean.pos 03_motif/cluster_2_homer_VS_bgPeaks/target.clean..pos -d given -cobound 1 -prefix 03_motif/cluster_2_homer_VS_bgPeaks/0.112137839970277.2.tmp)	chr	start	end	strand	stat	stat2	03_motif/cluster_2_homer_VS_bgPeaks/target.clean..pos
BG3017.35	7	79272451	79273250	+	8.35	0.000	934.412_r1,1345.39_r6
BG903.655_r1	7	25204801	25206650	+	1.23	0.000	1551.29_r15,903.655_r1,834.731_r6,1331.68_r4,677.856_r16
BG693.584_r1	12	17032651	17033700	+	1.85	0.000	693.584_r1
BG693.584_r2	2	180276651	180277400	+	2.03	0.000	1764.38_r16,693.584_r2
BG693.584_r3	5	21255551	21256050	+	2.03	0.000	1004.6,972.167_r1,2025.4_r1
BG693.584_r4	5	35582851	35583300	+	2.59	0.000	693.584_r4,1602.43_r9
BG693.584_r5	5	105556001	105556800	+	1.85	0.000	1875.19_r14,693.584_r5
BG693.584_r6	7	19344951	19345350	+	2.59	0.000	1909.28_r8,890.197_r10,693.584_r6
BG693.584_r7	7	45069351	45070000	+	1.29	0.000	693.584_r7
BG693.584_r8	8	120563601	120564300	+	2.22	0.000	1798.48_r7,898.364_r11,693.584_r8
BG775.861_r1	18	70644401	70645100	+	1.96	0.000	775.861_r1,1534.25_r13
BG775.861_r2	19	10742101	10742800	+	2.12	0.000	775.861_r2
BG775.861_r3	2	44920051	44920850	+	2.12	0.000	775.861_r3
BG775.861_r4	5	124111951	124112900	+	1.96	0.000	775.861_r4
BG775.861_r5	8	105289201	105289700	+	2.12	0.000	721.328_r14,775.861_r5
BG3094.06_r1	3	21987501	21988700	+	5.97	0.000	1642.3_r2
BG3094.06_r2	5	65986301	65987150	+	9.38	0.000	694.19_r10,3094.06_r2
BG3094.06_r4	9	31279851	31280800	+	7.16	0.000	973.842_r3
BG2437.75_r1	11	5761851	5763050	+	4.26	0.000	924.779_r2,2437.75_r1,628.503_r1
BG2437.75_r2	11	106761901	106762950	+	5.80	0.000	2437.75_r2,1257.71,1104.31_r1,628.85_r3,1168.62_r1
BG2437.75_r3	2	144554801	144556700	+	3.92	0.000	2437.75_r3
BG2437.75_r4	5	139298151	139299750	+	3.75	0.000	2437.75_r4,647.346_r20
BG1706.89	1	178318251	178319850	+	3.27	0.000	1706.89
BG887.221_r1	11	69015601	69017200	+	0.944	0.000	887.221_r1
BG2499.09	19	41354101	41355500	+	5.06	0.000	886.109,1661.18
BG792.194_r1	10	67536801	67537800	+	1.47	0.000	792.194_r1,776.815_r2
BG792.194_r2	10	77273151	77274450	+	1.63	0.000	675.089_r3,1302.52,2079.75_r1,648.144_r1,792.194_r2
BG792.194_r3	10	99241951	99242650	+	2.12	0.000	2199.09,1008.01,792.194_r3
BG792.194_r4	12	25438451	25439050	+	2.29	0.000	3273.06,1035.75_r4
BG792.194_r5	13	34001851	34002950	+	1.96	0.000	792.194_r5
BG792.194_r6	13	119651201	119652150	+	1.63	0.000	792.194_r6
BG792.194_r7	15	59540651	59541250	+	2.61	0.000	792.194_r7
BG792.194_r8	15	82015051	82016650	+	1.31	0.000	792.194_r8,989.514_r7
BG792.194_r9	16	4077501	4078300	+	1.96	0.000	2463.32_r1,792.194_r9
BG1109.7_r2	10	13982151	13984450	+	0.786	0.000	1109.7_r2,1815.52_r1
BG1109.7_r3	10	17722301	17723700	+	1.77	0.000	816.695,1293.08,2258.75,1109.7_r3
BG1109.7_r4	11	100860001	100860850	+	1.96	0.000	1841.09,1109.7_r4
BG1109.7_r5	17	35836801	35837450	+	3.93	0.000	2514.46_r3,1109.7_r5,661.523_r8
BG1109.7_r6	19	29454001	29454600	+	4.52	0.000	1109.7_r6
BG1109.7_r7	2	25110951	25111750	+	2.55	0.000	1109.7_r7
BG1109.7_r9	7	24368751	24370400	+	2.36	0.000	1109.7_r9,645.189_r15
BG1840.31	8	126847751	126848850	+	2.77	0.000	751.359_r16,1840.31,1388.36_r4
BG956.295	X	36980551	36982150	+	1.23	0.000	956.295
BG1001.68_r1	14	19984901	19985550	+	2.95	0.000	1140.54_r1,1035.75_r5,1001.68_r1
BG1001.68_r2	15	66444851	66446300	+	1.57	0.000	2180.57_r1
BG1001.68_r3	15	78591301	78592600	+	1.57	0.000	2020.09_r5,1098.48_r2
BG1001.68_r4	15	79932401	79933550	+	1.57	0.000	1038.24_r1,1001.68_r4
BG1001.68_r5	18	56925201	56926000	+	2.55	0.000	721.329_r3
BG1001.68_r6	2	78986301	78987550	+	1.77	0.000	1001.68_r6
BG1001.68_r8	4	48042601	48043250	+	3.34	0.000	1001.68_r8,2037.14_r5
BG1001.68_r9	7	27178051	27179450	+	2.75	0.000	1001.68_r9,813.806_r15,1159.71_r6
BG5318.72	11	30182001	30183550	+	12.4	0.000	5318.72,1198.69_r1
BG877.335_r1	5	122372101	122373050	+	1.75	0.000	661.523_r18,638.097_r7
BG2906.54	10	39479101	39480650	+	6.14	0.000	2906.54,1296.29_r1
BG1031.03	18	34623651	34625650	+	1.19	0.000	2122.37_r6
BG1031.14	1	66817101	66817950	+	2.75	0.000	1738.81_r1,675.09_r1,1031.14
BG3699.23	3	88296151	88297700	+	7.67	0.000	3699.23,1673.85_r2
BG3699.24	12	85704501	85706100	+	5.97	0.000	3699.24,1216.87_r2,1021.32_r2
BG3230.44_r1	19	53442701	53443850	+	5.63	0.000	1128.99
BG3230.44_r2	3	30602001	30603500	+	6.14	0.000	1054.25_r13,3230.44_r2
BG3230.44_r4	7	24369601	24370450	+	7.16	0.000	1109.7_r9,645.189_r15
BG3230.44_r5	7	128158351	128159700	+	5.63	0.000	1682.39_r3
BG1363.88	14	20177351	20178600	+	1.63	0.000	972.217,1227.01_r2,1363.88
BG1526.72	3	121291351	121292900	+	1.72	0.000	1526.72
BG730.575_r1	16	33052751	33053300	+	2.22	0.000	730.575_r1,1559.82_r7
BG730.575_r2	17	70986651	70987450	+	2.40	0.000	730.575_r2
BG730.575_r3	17	86752951	86753800	+	2.03	0.000	1917.81_r7,1151.54_r5,730.575_r3
BG730.575_r4	2	32775201	32776000	+	2.03	0.000	730.575_r4
BG730.575_r5	5	115844801	115845300	+	2.59	0.000	1508.67_r6,730.575_r5
BG730.575_r6	8	84066351	84066900	+	2.59	0.000	730.575_r6,1723.22_r3,3861.18,716.887_r6
BG1858.14	1	34438751	34440700	+	3.07	0.000	1858.14,1657.89,712.08
BG702.833_r10	2	26445101	26446150	+	1.29	0.000	938.75,2880.97_r1,702.833_r10,661.523_r10
BG702.833_r11	3	153944451	153944950	+	2.77	0.000	702.833_r11
BG702.833_r12	4	126256301	126256850	+	2.22	0.000	1807_r14,1020.87_r7,702.833_r12
BG702.833_r13	7	127027201	127027900	+	1.48	0.000	1610.96_r21,669.689_r15,702.833_r13
BG702.833_r14	9	108082451	108083450	+	1.48	0.000	702.833_r14,1179.81_r2,2045.66_r12
BG702.833_r15	X	8132051	8132500	+	2.22	0.000	1875.19_r18,1445.55_r5
BG1576.86_r1	10	22301901	22303900	+	2.56	0.000	1576.86_r1,710.524
BG1576.86_r2	11	23846151	23846900	+	4.09	0.000	1576.86_r2
BG1576.86_r3	11	53891601	53892100	+	5.80	0.000	647.346_r2,1576.86_r3
BG1576.86_r4	11	69410651	69412150	+	2.22	0.000	965.068_r1,1576.86_r4,647.346_r4
BG1576.86_r5	19	5490951	5492200	+	3.58	0.000	1576.86_r5,939.199_r4,739.824_r13
BG1576.86_r6	19	14352351	14353250	+	4.43	0.000	795.311_r4,1576.86_r6
BG1576.86_r7	19	45790451	45791250	+	5.63	0.000	931.032_r2,1576.86_r7
BG1576.86_r8	4	116220701	116222100	+	2.90	0.000	1576.86_r8
BG1561.66	11	95309301	95311000	+	2.11	0.000	2667.88,1561.66,1174.47_r1,972.216_r1
BG739.823_r10	17	35121201	35121750	+	2.40	0.000	2003.04_r11,1312.08_r2,739.823_r10
BG739.823_r11	18	54860501	54861300	+	1.48	0.000	739.823_r11
BG739.823_r13	19	5087951	5089300	+	1.66	0.000	739.823_r13,844.552,653.356_r8
BG739.823_r14	19	18619901	18620700	+	3.14	0.000	739.823_r14,751.36_r2
BG739.823_r15	19	33222751	33223650	+	1.85	0.000	1378.02_r2,739.823_r15
BG739.823_r16	2	33130551	33131300	+	1.29	0.000	1866.67_r6,739.823_r16,694.191_r5,962.395
BG739.823_r17	3	88521851	88522350	+	2.96	0.000	1135.21_r3,1951.9_r5,739.823_r17
BG739.823_r18	5	66074701	66075500	+	2.22	0.000	739.823_r18
BG739.823_r19	6	34910551	34911150	+	2.03	0.000	739.823_r19,694.19_r12
BG739.823_r20	7	16614951	16616000	+	2.03	0.000	739.823_r20
BG739.823_r21	9	32745001	32745650	+	1.85	0.000	739.823_r21
