#Name (cmd = mergePeaks 03_motif/cluster_1_homer_VS_bgPeaks/bg.clean.pos 03_motif/cluster_1_homer_VS_bgPeaks/target.clean..pos -d given -cobound 1 -prefix 03_motif/cluster_1_homer_VS_bgPeaks/0.00906655106610188.2.tmp)	chr	start	end	strand	stat	stat2	03_motif/cluster_1_homer_VS_bgPeaks/target.clean..pos
BG1205.28_r3	18	36559851	36560500	+	3.66	0.000	981.605_r2,1188.26_r4,860.045_r8,1205.28_r3,2804.26_r3,2074.4_r2
BG1205.28_r6	3	88509751	88510900	+	2.75	0.000	1502.72_r2,2906.54_r6,1205.28_r6
BG1205.28_r7	3	138143451	138144150	+	2.75	0.000	945.116
BG1205.28_r8	5	137628651	137629150	+	4.58	0.000	4328.48,3466.59_r1,7645.66,1205.28_r8,1507.39_r4
BG1205.28_r9	7	19507851	19508950	+	2.44	0.000	1205.28_r9,824.861_r10
BG2343.99_r1	16	78537301	78538550	+	3.58	0.000	2343.99_r1
BG2343.99_r2	2	144526801	144527800	+	6.48	0.000	2343.99_r2,1556.18_r1
BG2241.7_r5	14	64666451	64667100	+	6.14	0.000	922.865_r6,2241.7_r5
BG2241.7_r8	4	139191951	139193200	+	5.46	0.000	2241.7_r8
BG2241.7_r9	5	8675301	8676200	+	5.63	0.000	2241.7_r9
BG2778.69	1	52118451	52119950	+	5.28	0.000	2778.69,628.855
BG3017.35	7	79272451	79273250	+	8.35	0.000	1294.69_r7,3017.35,735.025_r18
BG3349.77	11	79076201	79077100	+	5.80	0.000	3349.77,1698.72
BG1715.06_r1	15	38300551	38301250	+	5.39	0.000	3324.2_r1,1355.21_r2,1715.06_r1,656.593_r7
BG1715.06_r2	7	118294601	118295400	+	5.23	0.000	1715.06_r2,675.089_r17,2386.6_r14
BG693.584_r3	5	21255551	21256050	+	2.03	0.000	842.242_r1,1495.16_r3,2505.93_r3,1266.83_r5,693.584_r3
BG693.584_r5	5	105556001	105556800	+	1.85	0.000	808.528_r8
BG775.861_r3	2	44920051	44920850	+	2.12	0.000	1812.57,3554.34
BG3094.06_r1	3	21987501	21988700	+	5.97	0.000	3094.06_r1,906.286,1078.04_r5
BG3094.06_r3	5	135702351	135703650	+	8.01	0.000	3094.06_r3
BG3094.06_r4	9	31279851	31280800	+	7.16	0.000	1035.75_r13,3094.06_r4,1050.78_r7,1608.89_r4
BG2437.75_r3	2	144554801	144556700	+	3.92	0.000	1846.06_r1,988.2_r9
BG2437.75_r4	5	139298151	139299750	+	3.75	0.000	1657.89_r2
BG1706.89	1	178318251	178319850	+	3.27	0.000	1026.5
BG4696.49_r1	9	42096501	42098300	+	9.89	0.000	4696.49_r1,1129_r4,1488.89,1551.72_r3
BG2499.09	19	41354101	41355500	+	5.06	0.000	2776.72,4176.56,1433.41_r4,2499.09,1207.91_r4
BG792.194_r4	12	25438451	25439050	+	2.29	0.000	792.194_r4
BG1109.7_r1	1	128786701	128787850	+	1.37	0.000	3162.25,1109.7_r1,1543.55,832.301
BG1109.7_r8	3	20034551	20035450	+	3.34	0.000	978.161,1109.7_r8,1372.05_r5,989.514_r8,3025.87_r1,1251.05
BG1109.7_r9	7	24368751	24370400	+	2.36	0.000	2593.64,841.551_r2,3230.44_r4
BG1840.31	8	126847751	126848850	+	2.77	0.000	2540.03_r7,1378.02_r6,2651.5
BG956.295	X	36980551	36982150	+	1.23	0.000	2250.23_r4,677.857_r16,869.292_r8
BG5830.13	11	87748451	87750400	+	8.69	0.000	2433.75,1294.69,5830.13,859.195,1207.91_r1,1037.46_r2
BG1001.68_r2	15	66444851	66446300	+	1.57	0.000	2582.65_r2,1001.68_r2,610.355_r9
BG1001.68_r3	15	78591301	78592600	+	1.57	0.000	1132.62_r1,1001.68_r3,971.867_r3
BG1001.68_r4	15	79932401	79933550	+	1.57	0.000	2412.17,849.362_r2
BG1001.68_r5	18	56925201	56926000	+	2.55	0.000	1730.29_r6,1274.04_r3,1001.68_r5
BG1001.68_r7	2	122652051	122652950	+	2.16	0.000	3008.83_r1,686.023_r8,1001.68_r7
BG1001.68_r8	4	48042601	48043250	+	3.34	0.000	887.789_r4
BG877.335_r1	5	122372101	122373050	+	1.75	0.000	1602.43_r10,877.335_r1
BG877.335_r2	8	85298951	85299950	+	1.40	0.000	877.335_r2,4687.97_r1,1004.53_r13,1054.25_r22,1394.49_r9
BG1031.03	18	34623651	34625650	+	1.19	0.000	1031.03,1265.88_r7,785.628_r1
BG3699.23	3	88296151	88297700	+	7.67	0.000	877.336,865.696_r11
BG3230.44_r1	19	53442701	53443850	+	5.63	0.000	998.762_r6,3230.44_r1,972.216_r6,1086.2_r12
BG3230.44_r3	5	124034151	124034950	+	7.84	0.000	3230.44_r3,989.514_r10,1486.38_r3
BG3230.44_r4	7	24369601	24370450	+	7.16	0.000	2593.64,841.551_r2,3230.44_r4
BG3230.44_r5	7	128158351	128159700	+	5.63	0.000	3230.44_r5,804.558_r15
BG3230.44_r6	7	137410201	137411850	+	6.82	0.000	3230.44_r6,1249.54_r10,1091.24_r15,854.372_r3
BG1526.72	3	121291351	121292900	+	1.72	0.000	2386.6_r7,1266.83_r2,1249.54_r9,860.045_r11
BG1462.97	14	54226601	54228350	+	2.83	0.000	1462.97,2173.23,1649.72_r1,3417.96_r1,824.911_r3
BG702.833_r15	X	8132051	8132500	+	2.22	0.000	702.833_r15
BG1625.22	1	85751551	85752650	+	2.94	0.000	730.576,1443.59,1625.22,2326.94
BG1794.07	15	80710351	80711400	+	2.77	0.000	1897.14,1794.07,1876.57,1254.59,3152.44,6128.45,1934.61
BG1576.86_r9	6	83831351	83832400	+	3.07	0.000	1576.86_r9,823.054_r10,1902.9_r2
BG1561.44	1	136139801	136140750	+	4.12	0.000	1519.6,3528.76,2288.51,1561.44,2392.92,813.807_r1
BG739.823_r12	19	4811301	4812100	+	2.03	0.000	739.823_r12,2923.59_r1,971.866_r5,1083.23_r3
BG739.823_r14	19	18619901	18620700	+	3.14	0.000	3844.14_r1
BG739.823_r15	19	33222751	33223650	+	1.85	0.000	1943.73,923.113_r1,3775.95_r1
BG739.823_r18	5	66074701	66075500	+	2.22	0.000	1098.48_r7,2122.37_r8,775.86_r18
BG1609.12_r1	17	24469701	24470800	+	4.81	0.000	1609.12_r1,2471.84,686.023_r4
BG1609.12_r2	18	60500001	60501550	+	3.14	0.000	1216.88,1148.98_r3,3409.43_r1
BG4082.8	7	75655501	75657450	+	6.31	0.000	4082.8,1453.72_r5,1128.23_r13
BG1992.74	4	135119851	135120900	+	4.08	0.000	1907.09,7236.53,2759.52_r1,1992.74,1045_r5
BG1519.6_r1	10	17987401	17989550	+	2.08	0.000	1069.87,3912.32,2543.14,3829.43,1512.34
BG2563.13	13	95891401	95892600	+	4.58	0.000	2347.07_r1,647.345_r5,1061.7_r3
BG938.505	17	3557251	3558350	+	1.45	0.000	2829.83_r2,1363.88_r3,938.505
BG938.748	1	128102751	128103600	+	2.11	0.000	2531.75_r1,2582.75,1189.25,1442.66,938.748,4858.44,1174.77
BG938.749	2	24934201	24935350	+	1.40	0.000	938.749,4687.97,628.855_r16,1451.9_r2,3280.19
BG2662.42	10	80621351	80622500	+	7.51	0.000	2662.42,7296.19,2062.28,1403.62_r1
BG1655.36_r1	7	82865251	82867250	+	2.03	0.000	1655.36_r1,2776.72_r2,1139.16_r9,1321.39_r2
BG1655.36_r2	9	107280201	107281350	+	3.88	0.000	5301.67_r1,2415.81,1655.36_r2,1306.71_r8
BG3466.59_r1	5	137628201	137629400	+	9.23	0.000	4328.48,3466.59_r1,7645.66,1205.28_r8,1507.39_r4
BG1183.72	13	113580001	113580550	+	4.25	0.000	4696.49,2356.89,2242.74_r1,1183.72,1167.87_r2
BG1678.24	17	17624701	17625700	+	3.66	0.000	991.857_r7,5003.35,1678.24
BG3332.72	8	88696501	88697800	+	5.63	0.000	3332.72,980.034_r1
BG1282.21	1	86064351	86065200	+	4.08	0.000	1285.44
BG980.034_r1	8	88696651	88697350	+	2.12	0.000	3332.72,980.034_r1
BG980.034_r2	X	73715701	73716900	+	2.12	0.000	707.065_r3
BG991.857_r10	2	164521801	164522500	+	3.73	0.000	1636.86_r2,4815.82_r1,2364.79_r2,991.857_r10,1690.56_r2
BG991.857_r13	9	96714051	96714600	+	3.93	0.000	2096.8_r12,991.857_r13,1017.26_r15
BG3827.09	11	70668501	70669350	+	7.33	0.000	3827.09,961.77,1584.39
BG923.114_r1	15	85634451	85635100	+	2.16	0.000	2667.88_r1,739.824_r10,923.114_r1,1102.54_r5
BG923.114_r3	4	8912651	8913600	+	1.57	0.000	923.114_r3,2190.56_r6,721.328_r8
BG1274.04_r1	14	55560401	55561000	+	3.43	0.000	1274.04_r1
BG1274.04_r3	18	56925151	56926050	+	3.92	0.000	1730.29_r6,1274.04_r3,1001.68_r5
BG1274.04_r5	3	106787851	106789550	+	1.96	0.000	971.018_r3,1031.14_r11
BG1274.04_r7	6	47812651	47814050	+	1.80	0.000	1274.04_r7,3545.81_r1
BG1274.04_r8	7	19228251	19229150	+	2.94	0.000	1424.16_r4,1274.04_r8
BG1274.04_r9	7	45922901	45923850	+	2.12	0.000	1312.08_r5,1568.34_r24,1274.04_r9
BG707.067_r2	8	72350351	72351200	+	1.77	0.000	800.361_r15
BG707.067_r3	8	94447401	94448250	+	1.77	0.000	2386.6_r15,707.067_r3,1102.54_r12
BG2284.32	1	183296501	183297850	+	5.80	0.000	2284.32,914.698_r4
BG1642.3	1	132010701	132011900	+	2.64	0.000	1618.36,1568.05,2522.98,1394.49_r1,1067.97_r1
BG1689.1_r1	11	87108501	87109600	+	3.54	0.000	2284.2,1689.1_r1,4909.59,1176.04_r4
BG1689.1_r2	11	120672901	120673850	+	4.32	0.000	1984.57_r1,5412.47,1689.1_r2,2807.23
BG1689.1_r3	12	32953901	32955250	+	2.16	0.000	749.071_r3
BG1689.1_r4	6	124829101	124830450	+	2.75	0.000	2074.4_r3,3426.48_r2,2469.16,1689.1_r4,1510.42
BG1689.1_r5	8	84702751	84704300	+	3.93	0.000	1689.1_r5,1205.28_r12,3895.28_r2
BG2989.1	4	32249601	32251300	+	5.72	0.000	2989.1,2126.99,1009.92_r3,2602.4,1220.54_r3
BG2074.91_r1	4	109000251	109001150	+	4.58	0.000	2098.91_r1,841.55_r4,826.149_r1,3801.52,2074.91_r1,1315.93_r2
BG1143.37_r1	6	113660651	113662050	+	2.61	0.000	2233.18_r6,1836.41_r1,1129_r2
BG1143.37_r2	7	75455001	75456250	+	2.61	0.000	2071.23_r9
BG1143.37_r4	8	84126101	84127400	+	3.43	0.000	1174.77_r6,4347.03_r3,1349.71_r3,1365.03_r3,1137.48_r12
BG1143.37_r6	9	40422951	40424000	+	2.12	0.000	2974.73_r5,887.789_r9,943.851_r5,667.785_r10
BG1143.37_r7	9	106822251	106822850	+	3.59	0.000	844.55,3051.44_r3,1143.37_r7,693.585_r21
BG693.585_r2	11	117333751	117334600	+	1.66	0.000	693.585_r2,3383.86_r1
BG693.585_r6	17	73814701	73815050	+	2.59	0.000	3042.92,693.585_r6,963.7_r3
BG693.585_r8	18	39034951	39035650	+	1.85	0.000	693.585_r8,735.026_r1,3059.97_r2,2101.56
BG1178.44_r2	3	145118101	145118900	+	4.32	0.000	1178.44_r2,3963.46,816.694_r9
BG1178.44_r3	5	73193751	73194250	+	4.32	0.000	1178.44_r3,653.356_r16
BG1178.44_r4	5	135537601	135538700	+	2.95	0.000	3844.14_r3,989.514_r12,1178.44_r4,637.021_r8
BG1178.44_r5	7	118243451	118244450	+	2.36	0.000	1926.33_r9,1178.44_r5,1192.97_r7
BG1556.18_r1	2	144527051	144527750	+	3.97	0.000	2343.99_r2,1556.18_r1
BG3152.44	15	80710651	80711450	+	8.33	0.000	1897.14,1794.07,1876.57,1254.59,3152.44,6128.45,1934.61
BG1902.9_r1	11	61174401	61175650	+	5.72	0.000	1902.9_r1,4133.94_r1,2136.24,648.144_r4
BG1902.9_r2	6	83831451	83832350	+	7.51	0.000	1576.86_r9,823.054_r10,1902.9_r2
BG1902.9_r3	9	13826551	13827850	+	5.06	0.000	4491.93,1757.85_r2,1902.9_r3,1083.23_r6
BG4730.59	19	56756101	56757000	+	8.86	0.000	2553.29,4730.59,2499.09_r1,1359.43_r4
BG779.884	19	43674751	43676350	+	1.45	0.000	3452.05_r2,1167.87_r4,887.79_r1
BG1472.41_r2	5	32147651	32149650	+	2.08	0.000	1472.41_r2,841.549_r8,1445.55_r2
BG1311.96	7	43436051	43437450	+	3.21	0.000	7176.87,1311.96,859.787,2582.76,2358.19,2213.24_r1,1281.56_r5
BG5301.67	7	19715151	19716250	+	13.8	0.000	5301.67,3176.94,2635.62,2435.45_r1
BG1757.08_r1	16	42874901	42876250	+	4.07	0.000	1757.08_r1,2752.26,1826.59,4500.45_r1
BG1757.08_r2	9	66126201	66126750	+	5.92	0.000	1217.73_r6,1757.08_r2
BG1806.95	19	53461001	53461850	+	4.71	0.000	1313.19_r2,1806.95,4824.35,2227.48_r1,1747.73_r1
BG1527.22_r1	13	113183101	113184350	+	4.25	0.000	1917.81_r4,628.851_r1,2029.14,1527.22_r1,1433.77_r1
BG1527.22_r4	4	134495051	134495550	+	6.21	0.000	667.785_r6,1054.25_r16,1527.22_r4
BG1527.22_r5	5	62771651	62772550	+	3.92	0.000	1527.22_r5,3085.54_r2
BG1977.47_r4	16	32190001	32190450	+	6.82	0.000	1008.01_r6,1592.56,1977.47_r4
BG1021.32_r1	11	106387751	106388400	+	2.95	0.000	2258.75_r3,1021.32_r1
BG1021.32_r4	16	55636351	55637050	+	2.36	0.000	4884.01,1461.88_r3,1021.32_r4,1491.29_r1,1693.49_r1
BG1021.32_r5	16	57121051	57121700	+	2.36	0.000	1803.32_r1,1159.71_r3,2207.61_r2,1021.32_r5
BG1021.32_r6	2	38536101	38537100	+	2.16	0.000	1021.32_r6,3460.58
BG1021.32_r8	4	139598751	139599500	+	2.75	0.000	702.357_r13,1021.32_r8
BG1021.32_r9	5	23718851	23719700	+	3.14	0.000	5497.71_r1,869.292_r6,914.698_r14,1021.32_r9
BG1905.05	10	79984301	79985350	+	3.70	0.000	1894.73,1777.49,4449.31_r1,1905.05
BG1905.15	2	30625501	30626650	+	3.14	0.000	3341.25,2376.58,1914.29,1905.15,1098.48_r4
BG1179.81_r1	9	107279451	107280950	+	1.70	0.000	5301.67_r1,2415.81,1655.36_r2,1306.71_r8
BG3682.18	11	78864701	78865150	+	13.0	0.000	619.602_r3
BG3682.19	19	33101051	33102300	+	8.18	0.000	1067.97_r5,3682.19
BG4253.27	13	51813301	51814800	+	6.31	0.000	4253.27,1494.55_r1,1728.39
BG1434.13_r1	19	4510101	4510950	+	3.05	0.000	5114.15,2435.45,2695.09_r1,1377.92_r3,1434.13_r1
BG1434.13_r2	5	53402051	53403000	+	3.05	0.000	1883.71_r16,1158.8_r3,1434.13_r2
BG2156.47_r4	13	101701751	101702800	+	4.09	0.000	694.19_r6
BG2156.47_r8	19	38054301	38055550	+	4.43	0.000	2156.47_r8
BG1184.21_r10	6	85450851	85452100	+	3.10	0.000	1184.21_r10,1345.39_r5
BG730.576_r3	11	117831701	117832550	+	1.66	0.000	1568.05_r2,730.576_r3,775.809_r2,2130.9_r4
BG730.576_r4	12	84361551	84362050	+	2.77	0.000	730.576_r4,1780.39,2719.02_r3
BG730.576_r5	15	77841901	77842650	+	1.85	0.000	1461.88_r2,1158.8_r1,2906.54_r5,730.576_r5
BG1463.24	2	30981851	30982600	+	4.32	0.000	1463.24,1340.93_r3,3085.53
BG1165.22_r3	7	16399001	16400150	+	2.59	0.000	2531.5_r3,914.698_r16,1129.34_r4,1165.22_r3
BG1165.22_r4	9	117926851	117927800	+	3.33	0.000	2091.74,7023.44,1165.22_r4,1907.09_r2,1992.74_r1
BG1562.88	14	54222151	54223000	+	3.33	0.000	924.974_r2,1562.88,3153.73
BG2770.16_r1	16	18288951	18289550	+	9.21	0.000	1690.56_r1,1070.42_r4,2770.16_r1,1357.85_r2
BG1894.73	10	79984201	79985650	+	3.43	0.000	1894.73,1777.49,4449.31_r1,1905.05
BG1661.18	19	41354351	41355500	+	4.34	0.000	2776.72,4176.56,1433.41_r4,2499.09,1207.91_r4
BG1993.53	9	64797151	64798300	+	5.11	0.000	2188.74_r3,6708.07,1766.33_r2,1388.36_r5,1993.53
BG841.548_r1	19	46760951	46761850	+	1.66	0.000	2940.64_r1,1984.57_r3,841.548_r1
BG3810.04	6	97293851	97294800	+	12.6	0.000	710.525_r6,3810.04
BG2564.42	11	103965801	103967150	+	4.90	0.000	2564.42,1365.03,3145.2_r4
BG2727.55	15	27627051	27628550	+	3.24	0.000	2727.55,1976.4
BG2131.57_r1	10	80701901	80702950	+	4.57	0.000	1777.49_r1,3477.62,1757.08,2131.57_r1
BG2131.57_r2	3	152912051	152913200	+	3.43	0.000	1793.32,1600.72_r4,1617.21_r3,2131.57_r2,5557.37,1664.6_r2
BG1357.85_r1	11	115198551	115199350	+	3.66	0.000	1357.85_r1,4892.54,1633.39,854.371,1155.97_r1
BG1357.85_r2	16	18289001	18289650	+	3.36	0.000	1690.56_r1,1070.42_r4,2770.16_r1,1357.85_r2
BG1357.85_r3	16	92825651	92826500	+	3.36	0.000	1470.4_r1,3291.28,1669.46,3656.62_r1,1357.85_r3
BG1357.85_r4	4	134853501	134854350	+	1.83	0.000	1559.89_r3
BG1357.85_r5	7	127471001	127471850	+	2.44	0.000	1118.98_r10,1216.87_r5,1653.58_r12
BG1357.85_r6	9	40423601	40424350	+	3.36	0.000	2974.73_r5,887.789_r9,943.851_r5,667.785_r10
BG1914.29_r1	8	113634701	113636100	+	2.59	0.000	886.108,1914.29_r1,6810.34,2433.75_r3,874.011
BG2995.21	3	75555901	75557750	+	6.68	0.000	2760.43_r1
BG1342.59_r1	17	25247651	25248500	+	2.75	0.000	1342.59_r1,4398.17,2539.92_r2,2405.99_r1,1590.62
BG1342.59_r2	5	134184151	134184950	+	2.44	0.000	3111.11,1342.59_r2
BG1342.59_r3	6	113306551	113307250	+	3.05	0.000	3758.9,2170.3_r1,832.302_r13,1342.59_r3
BG1342.59_r4	7	128119951	128120900	+	2.75	0.000	1102.54_r11,3068.49_r3,1040.96_r5
BG1342.59_r5	9	66593001	66593950	+	3.66	0.000	1266.95_r9,2863.92_r3,1342.59_r5
BG1342.59_r7	9	114026001	114026750	+	4.27	0.000	1584.39_r4,1342.59_r7,2003.04_r19
BG1679.28	12	105031451	105032950	+	2.75	0.000	1461.88,3920.85,2376.68
